Source,Target,Source Name,Target Name,Common Users,Source Population,Target Population,Total Population,Exposure,Phi-Correlation,T-Test,P-values,Over-expression
vie,kor,Vietnamese,Korean,512,6150,289982,17694811,0.001765627,0.00981993,5.288266596,6.18E-08,5.080070421
eng,ukr,English,Ukrainian,495,10859465,2842,17694811,0.174173118,-0.011441416,-37.70616512,0,0.283804073
ukr,eng,Ukrainian,English,495,2842,10859465,17694811,4.56E-05,-0.011441416,-37.70616512,0,0.283804073
msa,slk,Malay (macrolanguage),Slovak,489,1651705,3657,17694811,0.133716161,0.001995269,2.564297179,0.005169293,1.432508948
slk,msa,Slovak,Malay (macrolanguage),489,3657,1651705,17694811,0.000296058,0.001995269,2.564297179,0.005169293,1.432508948
fil,fra,Filipino (macrolanguage),French,489,257611,147843,17694811,0.003307563,-0.008622154,-4.376353974,6.04E-06,0.227190212
fra,fil,French,Filipino (macrolanguage),489,147843,257611,17694811,0.001898211,-0.008622154,-4.376353974,6.04E-06,0.227190212
por,slk,Portuguese,Slovak,484,1617409,3657,17694811,0.13234892,0.002042646,2.597787217,0.004691373,1.447926358
slk,por,Slovak,Portuguese,484,3657,1617409,17694811,0.000299244,0.002042646,2.597787217,0.004691373,1.447926358
ell,msa,Modern Greek (1453-),Malay (macrolanguage),479,30609,1651705,17694811,0.000290003,-0.011117479,-14.28891101,1.29E-46,0.167648556
msa,ell,Malay (macrolanguage),Modern Greek (1453-),479,1651705,30609,17694811,0.015648992,-0.011117479,-14.28891101,1.29E-46,0.167648556
hbs,slv,Serbo-Croatian,Slovenian,464,8152,2230,17694811,0.208071749,0.108617109,9.864023725,4.00E-23,451.6425749
slv,hbs,Slovenian,Serbo-Croatian,464,2230,8152,17694811,0.056918548,0.108617109,9.864023725,4.00E-23,451.6425749
eng,lit,English,Lithuanian,452,10859465,696,17694811,0.649425287,0.000460064,1.516079676,0.064749618,1.058197408
lit,eng,Lithuanian,English,452,696,10859465,17694811,4.16E-05,0.000460064,1.516079676,0.064749618,1.058197408
msa,ron,Malay (macrolanguage),Romanian,449,1651705,5040,17694811,0.089087302,-0.000246982,-0.317418136,0.375463194,0.954397404
ron,msa,Romanian,Malay (macrolanguage),449,5040,1651705,17694811,0.00027184,-0.000246982,-0.317418136,0.375463194,0.954397404
fra,jpn,French,Japanese,444,147843,2602426,17694811,0.00017061,-0.037337878,-60.27560808,0,0.020419718
jpn,fra,Japanese,French,444,2602426,147843,17694811,0.003003186,-0.037337878,-60.27560808,0,0.020419718
rus,spa,Russian,Spanish,437,243159,2043468,17694811,0.000213852,-0.04198782,-60.07450482,0,0.015562135
spa,rus,Spanish,Russian,437,2043468,243159,17694811,0.001797178,-0.04198782,-60.07450482,0,0.015562135
kor,por,Korean,Portuguese,436,289982,1617409,17694811,0.000269567,-0.040267019,-51.25208259,0,0.016449077
por,kor,Portuguese,Korean,436,1617409,289982,17694811,0.001503542,-0.040267019,-51.25208259,0,0.016449077
fil,tur,Filipino (macrolanguage),Turkish,435,257611,233158,17694811,0.001865688,-0.012245254,-6.21556897,2.56E-10,0.128150546
tur,fil,Turkish,Filipino (macrolanguage),435,233158,257611,17694811,0.001688592,-0.012245254,-6.21556897,2.56E-10,0.128150546
ara,spa,Arabic,Spanish,417,366643,2043468,17694811,0.000204065,-0.052042138,-74.49510855,0,0.009848515
spa,ara,Spanish,Arabic,417,2043468,366643,17694811,0.001137346,-0.052042138,-74.49510855,0,0.009848515
deu,ita,German,Italian,412,73897,89242,17694811,0.00461666,0.000486282,0.145267488,0.442250006,1.105470205
ita,deu,Italian,German,412,89242,73897,17694811,0.005575328,0.000486282,0.145267488,0.442250006,1.105470205
eng,urd,English,Urdu,410,10859465,488,17694811,0.840163934,0.002442509,8.048994498,4.17E-16,1.368993963
urd,eng,Urdu,English,410,488,10859465,17694811,3.78E-05,0.002442509,8.048994498,4.17E-16,1.368993963
ara,fil,Arabic,Filipino (macrolanguage),410,366643,257611,17694811,0.001591547,-0.016322247,-9.884582155,2.44E-23,0.076810746
fil,ara,Filipino (macrolanguage),Arabic,410,257611,366643,17694811,0.001118254,-0.016322247,-9.884582155,2.44E-23,0.076810746
